Batch results: -0.016286242753267288|-0.014085018076002598|-0.02107427641749382|-0.020264826714992523|
Batch results: -0.03401679918169975|-0.03448052331805229|-0.0334753580391407|-0.027489827945828438|
Batch results: -0.02662317454814911|-0.03422236815094948|-0.028240203857421875|-0.03321295976638794|
Batch results: -0.03413189947605133|-0.022631922736763954|-0.026617471128702164|-0.027910036966204643|
Batch results: -0.03846646845340729|-0.012893114238977432|-0.021966034546494484|-0.028302453458309174|
Batch results: -0.03166243061423302|-0.031231677159667015|-0.0247071273624897|-0.02732667699456215|
Batch results: -0.040642984211444855|-0.020540278404951096|-0.023461077362298965|-0.017698926851153374|
Batch results: -0.02760789915919304|-0.008210200816392899|-0.026325376704335213|-0.026097599416971207|
Batch results: -0.03288838639855385|-0.023780561983585358|-0.020731128752231598|-0.012954559177160263|
Batch results: -0.029499216005206108|-0.046579062938690186|-0.015529841184616089|-0.0078124236315488815|
Batch results: -0.030551768839359283|-0.02166135609149933|-0.03439842909574509|-0.0332622155547142|
Batch results: -0.033127740025520325|-0.007437686435878277|-0.026266708970069885|-0.02885153330862522|
Batch results: -0.02917543426156044|-0.026566514745354652|-0.03449062630534172|-0.026760779321193695|
Batch results: -0.018767505884170532|-0.03231295198202133|-0.028262920677661896|-0.025806264951825142|
Batch results: -0.007709629368036985|0.000258423388004303|-0.02349036931991577|-0.024020662531256676|
Batch results: -0.029114633798599243|-0.029681578278541565|-0.017593078315258026|-0.008470948785543442|
Batch results: -0.03520271182060242|-0.01111999899148941|-0.015334279276430607|-0.028593970462679863|
Batch results: -0.0076348246075212955|-0.038223620504140854|-0.028142813593149185|-0.030923277139663696|
Batch results: -0.017175961285829544|-0.020081300288438797|-0.021291926503181458|-0.023189228028059006|
Batch results: -0.02923021838068962|-0.026246851310133934|-0.03302312642335892|-0.008677467703819275|
Batch results: -0.027939926832914352|-0.03095056116580963|-0.03409699350595474|-0.0056969523429870605|
Batch results: -0.023659829050302505|-0.014323433861136436|-0.033917807042598724|-0.02071399800479412|
Batch results: -0.024215087294578552|-0.020070772618055344|-0.029357802122831345|-0.025761444121599197|
Batch results: -0.015287271700799465|-0.023891257122159004|-0.039644770324230194|-0.03412330150604248|
Batch results: -0.006439899560064077|-0.04392022639513016|-0.006911519914865494|-0.021827273070812225|
Batch results: -0.023533817380666733|-0.013814079575240612|-0.03108191303908825|-0.025659922510385513|
Batch results: -0.02898441255092621|-0.01019236072897911|-0.023547224700450897|-0.01717209443449974|
Batch results: -0.03144032880663872|-0.022102955728769302|-0.024678047746419907|-0.03880397975444794|
Batch results: -0.025699641555547714|-0.030610159039497375|-0.010908877477049828|-0.026944223791360855|
Batch results: -0.032893791794776917|-0.029142383486032486|-0.01570471003651619|-0.02853906899690628|
Batch results: -0.021022584289312363|-0.029509710147976875|-0.03876284509897232|-0.03632352128624916|
Batch results: -0.009971157647669315|-0.028846243396401405|-0.02796817757189274|-0.020645271986722946|
Batch results: -0.011191437020897865|-0.027206772938370705|-0.020923227071762085|-0.02376338094472885|
Batch results: -0.01112243440002203|-0.017765717580914497|-0.022749334573745728|-0.0428672656416893|
Batch results: -0.027748195454478264|-0.042668480426073074|-0.028791919350624084|-0.03606284037232399|
Batch results: -0.016021497547626495|-0.029650334268808365|-0.025903519243001938|-0.015504645183682442|
Batch results: -0.020700674504041672|-0.017736323177814484|-0.03837227821350098|-0.04539214074611664|
Batch results: -0.02830926701426506|-0.01811869628727436|-0.02897198125720024|-0.031052585691213608|
Batch results: -0.028517860919237137|-0.033580534160137177|-0.03193403780460358|-0.01506117545068264|
Batch results: -0.03183268755674362|-0.02951842173933983|-0.014386143535375595|-0.027519188821315765|
Batch results: -0.01792224869132042|-0.04095110297203064|-0.026515506207942963|-0.016202978789806366|
Batch results: -0.02906225621700287|-0.021695170551538467|-0.025355996564030647|-0.044079236686229706|
Batch results: -0.022352036088705063|-0.019178632646799088|-0.02690354362130165|-0.02781224437057972|
Batch results: -0.02751367911696434|-0.01774759218096733|-0.027943439781665802|-0.012926937080919743|
Batch results: -0.01554466038942337|-0.02905075065791607|-0.03165769949555397|-0.029408227652311325|
Batch results: -0.032094020396471024|-0.01738050766289234|-0.01916441135108471|-0.03685884177684784|
Batch results: -0.029215864837169647|-0.020717179402709007|-0.01820570044219494|-0.01924816519021988|
Batch results: -0.027258537709712982|-0.03342278674244881|-0.018841180950403214|-0.02622257173061371|
Batch results: -0.016946446150541306|-0.03278953209519386|-0.02366466261446476|-0.03469739481806755|
Batch results: -0.017095046117901802|-0.019165292382240295|-0.0360465943813324|-0.0232708603143692|
Batch results: -0.014187456108629704|-0.02663194015622139|-0.01613864116370678|-0.03131278231739998|
Batch results: -0.017954058945178986|-0.0026971078477799892|-0.013417480513453484|-0.02446676790714264|
Batch results: -0.03546319529414177|-0.025334935635328293|-0.017253320664167404|-0.008814693428575993|
Batch results: -0.02473745122551918|-0.03229162096977234|-0.038370609283447266|-0.014590779319405556|
Batch results: -0.027428332716226578|-0.009400364942848682|-0.019743625074625015|-0.03712163120508194|
Batch results: -0.03571188449859619|-0.028470663353800774|-0.0176130048930645|-0.030586522072553635|
Batch results: -0.020327750593423843|-0.018566925078630447|-0.03065500594675541|-0.021218083798885345|
Batch results: -0.028916772454977036|-0.025159291923046112|-0.03746362030506134|-0.039860304445028305|
Batch results: -0.02655007690191269|-0.022561386227607727|-0.017468329519033432|-0.027466915547847748|
Batch results: -0.018389152362942696|-0.02303946390748024|-0.015177370980381966|-0.011741330847144127|
