Batch results: -0.009621129371225834|-0.009402013383805752|-0.023694545030593872|-0.014632555656135082|
Batch results: -0.03541739657521248|-0.03799457848072052|-0.005826098378747702|-0.03183700516819954|
Batch results: -0.02789628505706787|-0.01418802049010992|-0.029205337166786194|-0.011543195694684982|
Batch results: -0.03664253652095795|-0.023844368755817413|-0.02806917019188404|-0.029989557340741158|
Batch results: -0.040850795805454254|-0.009145370684564114|-0.012102657929062843|-0.033755965530872345|
Batch results: -0.014421222731471062|-0.03398299217224121|-0.026002831757068634|-0.029545197263360023|
Batch results: -0.042418669909238815|-0.010112316347658634|-0.008771874941885471|-0.020238233730196953|
Batch results: -0.004309698939323425|-0.010233628563582897|-0.027432238683104515|-0.007550802081823349|
Batch results: -0.03408900275826454|-0.0251445472240448|-0.005129637196660042|-0.014072328805923462|
Batch results: -0.007299679331481457|-0.027960386127233505|-0.005628884769976139|-0.009139563888311386|
Batch results: -0.007603471167385578|-0.026103053241968155|-0.017155151814222336|-0.036240994930267334|
Batch results: -0.01322225946933031|-0.009486769326031208|-0.03214389085769653|-0.018127620220184326|
Batch results: -0.031231796368956566|-0.02699260786175728|-0.03598272055387497|-0.012343380600214005|
Batch results: -0.011921845376491547|-0.022332366555929184|-0.029851697385311127|-0.02756667323410511|
Batch results: -0.009683612734079361|-0.00545211136341095|-0.02412506565451622|-0.026491262018680573|
Batch results: -0.03133927285671234|-0.007601250894367695|-0.013733914121985435|-0.010161424987018108|
Batch results: -0.03632190823554993|-0.007397230714559555|-0.017810998484492302|-0.00862697884440422|
Batch results: -0.007777543738484383|-0.03971845656633377|-0.030372850596904755|-0.03151658922433853|
Batch results: -0.019327998161315918|-0.016243508085608482|-0.02272919751703739|-0.02710201032459736|
Batch results: -0.030932005494832993|-0.007262522354722023|-0.0067766401916742325|-0.007587081752717495|
Batch results: -0.034481681883335114|-0.03161584958434105|-0.017627254128456116|-0.00771415326744318|
Batch results: -0.02609514445066452|-0.01567194238305092|-0.011925694532692432|-0.0219937264919281|
Batch results: -0.01562419068068266|-0.02342020720243454|-0.03129715472459793|-0.028568945825099945|
Batch results: -0.00763485673815012|-0.007080867420881987|-0.04127815365791321|-0.013449763879179955|
Batch results: -0.005617035552859306|-0.04521939530968666|-0.009468196891248226|-0.01237888727337122|
Batch results: -0.02793291211128235|-0.008798124268651009|-0.008918585255742073|-0.027447927743196487|
Batch results: -0.030967000871896744|-0.012538399547338486|-0.02441616728901863|-0.018724828958511353|
Batch results: -0.032999321818351746|-0.013952220790088177|-0.010554464533925056|-0.017359549179673195|
Batch results: -0.02778753452003002|-0.032262369990348816|-0.01323747169226408|-0.007041046395897865|
Batch results: -0.035453662276268005|-0.007130576763302088|-0.017869744449853897|-0.007945077493786812|
Batch results: -0.022967588156461716|-0.03152846544981003|-0.01535351574420929|-0.019407358020544052|
Batch results: -0.012507960200309753|-0.012617014348506927|-0.0064284284599125385|-0.007155235391110182|
Batch results: -0.0072935507632792|-0.007673298008739948|-0.02315610833466053|-0.02547585591673851|
Batch results: -0.012424534186720848|-0.019359562546014786|-0.011068467050790787|-0.02078184299170971|
Batch results: -0.029961464926600456|-0.04382219538092613|-0.030942264944314957|-0.02049589343369007|
Batch results: -0.006555212661623955|-0.03140677884221077|-0.028236281126737595|-0.008542152121663094|
Batch results: -0.007072353735566139|-0.007604172453284264|-0.008054332807660103|-0.01358243077993393|
Batch results: -0.007888282649219036|-0.020234957337379456|-0.03226340562105179|-0.03148413449525833|
Batch results: -0.006821372080594301|-0.034774888306856155|-0.035070065408945084|-0.008404730819165707|
Batch results: -0.0035246754996478558|-0.030566740781068802|-0.016850002110004425|-0.02971392124891281|
Batch results: -0.00936215091496706|-0.003177682403475046|-0.029256723821163177|-0.007044598925858736|
Batch results: -0.03136245161294937|-0.004915265832096338|-0.027598021551966667|-0.020221853628754616|
Batch results: -0.007558755110949278|-0.012005593627691269|-0.029145367443561554|-0.02993873879313469|
Batch results: -0.028898030519485474|-0.02033781073987484|-0.01884409226477146|-0.0065965428948402405|
Batch results: -0.018076758831739426|-0.031303469091653824|-0.03328899294137955|-0.03228394687175751|
Batch results: -0.006299154832959175|-0.018448464572429657|-0.021248064935207367|-0.03913847729563713|
Batch results: -0.011178226210176945|-0.022805724292993546|-0.02092491090297699|-0.006236745975911617|
Batch results: -0.02904592826962471|-0.00945071317255497|-0.021393032744526863|-0.008602435700595379|
Batch results: -0.007561821956187487|-0.03469444066286087|-0.02609764039516449|-0.01481841690838337|
Batch results: -0.010709513910114765|-0.020702049136161804|-0.017966512590646744|-0.009667535312473774|
Batch results: -0.015706205740571022|-0.007969984784722328|-0.011216774582862854|-0.03301557898521423|
Batch results: -0.01854284480214119|-0.009040296077728271|-0.015038558281958103|-0.015039641410112381|
Batch results: -0.020244870334863663|-0.027527477592229843|-0.008170083165168762|-0.00722014345228672|
Batch results: -0.028139987960457802|-0.008406586945056915|-0.011704284697771072|-0.013661148026585579|
Batch results: -0.02952561527490616|-0.010994268581271172|-0.009382544085383415|-0.015386464074254036|
Batch results: -0.023172378540039062|-0.029602868482470512|-0.012725042179226875|-0.010540616698563099|
Batch results: -0.009461341425776482|-0.0018129480304196477|-0.011422351934015751|-0.01364007219672203|
Batch results: -0.03099806234240532|-0.026513662189245224|-0.038414448499679565|-0.041003115475177765|
Batch results: -0.006251889280974865|-0.024220537394285202|-0.00833174865692854|-0.027957560494542122|
Batch results: -0.00924217514693737|-0.024678245186805725|-0.016209572553634644|-0.01077230740338564|
